pub_date	title	venue	excerpt	citation	url_slug	paper_url	slides_url
7/15/2025	"Pertechnetate/Perrhenate-Linked Frameworks of UIV , UIV 6-Hexamer and Uranyl (VI) Building Units"	Inorganic Chemistry		https://doi.org/10.1021/acs.inorgchem.5c01958	paper-title-number-26	http://iancolliard.github.io/Colliard-Research.github.io/files/paper26.pdf	
7/3/2025	Isolation of a New Polyoxometalate Complex of Plutonium	Chemical Communications		https://doi.org/10.1039/D5CC03481G	paper-title-number-25	http://iancolliard.github.io/Colliard-Research.github.io/files/paper25.pdf	
4/15/2025	Similar but different: structural and spectroscopic characterization of a series of europium and curium coordination complexes	Journal of the American Chemical Society 		https://doi.org/10.1021/jacs.5c00861	paper-title-number-24	http://iancolliard.github.io/Colliard-Research.github.io/files/paper24.pdf	
12/10/2024	"Isolation and characterization of a new polyoxometalate ligand, H3SbW14O5010-"	Chemical Communications		https://doi.org/10.1039/D4CC05558F	paper-title-number-23	http://iancolliard.github.io/Colliard-Research.github.io/files/paper23.pdf	
8/22/2024	"From +I to +IV, alkalis to actinides: Capturing cations across the periodic table with Keggin polyoxometalate ligands"	Inorganic Chemistry		https://doi.org/10.1021/acs.inorgchem.4c02254	paper-title-number-22	http://iancolliard.github.io/Colliard-Research.github.io/files/paper22.pdf	
7/15/2024	Crystal structure of hexachlorothallate within a caesium chloride phosphotungstate lattice Cs9(TlCl6)(PW12O40)2.9CsCl	Acta Crystallographica Section E		https://doi.org/10.1107/S2056989024005565	paper-title-number-21	http://iancolliard.github.io/Colliard-Research.github.io/files/paper21.pdf	
6/15/2024	"Synthesis and structural characterization of a hydrated sodium caesium tetracosatungstate(VI), Na5Cs19[W24O84].21H2O"	Acta Crystallographica Section E		https://doi.org/10.1107/S2056989024004778	paper-title-number-20	http://iancolliard.github.io/Colliard-Research.github.io/files/paper20.pdf	
5/9/2024	Isolation and characterization of a Peacock-Weakley polyoxometalate containing a transplutonium element: the case of curium bis-pentatungstate [Cm(W5O18)2]9-	Chemical Communications		https://doi.org/10.1039/D4CC01381F	paper-title-number-19	http://iancolliard.github.io/Colliard-Research.github.io/files/paper19.pdf	
5/9/2024	 Polyoxometalate ligands reveal different coordination chemistries among lanthanides and heavy actinides	Journal of the American Chemical Society Au		https://doi.org/10.1021/jacsau.4c00245	paper-title-number-18	http://iancolliard.github.io/Colliard-Research.github.io/files/paper18.pdf	
12/29/2023	Contrasting Trivalent Lanthanide and Actinide Complexation by Polyoxometalates via solution-state NMR	Inorganic Chemistry		https://doi.org/10.1021/acs.inorgchem.2c04014	paper-title-number-17	http://iancolliard.github.io/Colliard-Research.github.io/files/paper17.pdf	
11/28/2023	Decaniobate: the fruitfly of niobium polyoxometalate chemistry	Accounts of Chemical Research		https://doi.org/10.1021/acs.accounts.3c00583	paper-title-number-16	http://iancolliard.github.io/Colliard-Research.github.io/files/paper16.pdf	
7/14/2022	"Polyoxometalates as ligands to synthesis, isolate and characterize compounds of rare isotopes on the microgram scale"	Nature Chemistry		https://doi.org/10.1021/acs.inorgchem.2c04014	paper-title-number-15	http://iancolliard.github.io/Colliard-Research.github.io/files/paper15.pdf	
7/4/2022	Interfacial Unit-Dependent Catalytic Activity for CO Oxidation over Cerium Oxysulfate Cluster Assemblies	ACS Applied Material & Interfaces		https://doi.org/10.1021/acsami.2c05937	paper-title-number-14	http://iancolliard.github.io/Colliard-Research.github.io/files/paper14.pdf	
5/10/2022	" Metal-Oxo Cluster Formation Using Ammonium and Sulfate to Differentiate MIV (Th, U, Ce) Chemistries"	Inorganic Chemistry		https://doi.org/10.1021/acs.inorgchem.2c01309	paper-title-number-13	http://iancolliard.github.io/Colliard-Research.github.io/files/paper13.pdf	
3/21/2022	Effective Storage of Electrons in Water by the Formation of Highly Reduced Polyoxometalate Clusters	Journal of the American Chemical Society 		https://doi.org/10.1021/jacs.1c10584	paper-title-number-12	http://iancolliard.github.io/Colliard-Research.github.io/files/paper12.pdf	
12/7/2021	Silver Cytosine Polyoxometalate Assemblies: Assessing the Role of Polyoxometalates in Constructing Ag-DNA Suprastructures	Crystal Growth & Design		https://doi.org/10.1021/acs.cgd.1c01385	paper-title-number-11	http://iancolliard.github.io/Colliard-Research.github.io/files/paper11.pdf	
6/21/2021	Heterometallic CeIV/VV Oxo Clusters with Adjustable Catalytic Reactivities	Journal of the American Chemical Society 		https://doi.org/10.1021/jacs.1c11208	paper-title-number-10	http://iancolliard.github.io/Colliard-Research.github.io/files/paper10.pdf	
6/17/2021	Snapshots of Ce70 Toroid Assembly from Solids and Solution	Journal of the American Chemical Society 		https://doi.org/10.1021/jacs.1c04095	paper-title-number-9	http://iancolliard.github.io/Colliard-Research.github.io/files/paper9.pdf	
4/15/2021	Hybrid Polyoxometalate Salt Adhesion by Butyltin Functionalization	ACS Applied Material & Interfaces		https://doi.org/10.1021/acsami.1c03269	paper-title-number-8	http://iancolliard.github.io/Colliard-Research.github.io/files/paper8.pdf	
1/7/2021	"CeIV70 Oxosulfate Rings, Frameworks, Supramolecular Assembly, and Redox Activity"	Angewandte Chemie		https://doi.org/10.1002/anie.202016522	paper-title-number-7	http://iancolliard.github.io/Colliard-Research.github.io/files/paper7.pdf	
11/19/2020	Bridging the Transuranics with Uranium(IV) Sulfate Aqueous Species and Solid Phases	Inorganic Chemistry		https://doi.org/10.1021/acs.inorgchem.0c02267	paper-title-number-6	http://iancolliard.github.io/Colliard-Research.github.io/files/paper6.pdf	
7/1/2020	"Building [UIV70(OH)36(O)64]4- Oxocluster Frameworks with Sulfate, Transition Metals, and U(V)"	Chemistry - A European Journal		https://doi.org/10.1002/chem.202002403	paper-title-number-5	http://iancolliard.github.io/Colliard-Research.github.io/files/paper5.pdf	
